RIVER,LOCATION,ERECTED,PURPOSE
M,3,1818,HIGHWAY
A,25,1819,HIGHWAY
A,39,1829,AQUEDUCT
A,29,1837,HIGHWAY
M,23,1838,HIGHWAY
A,27,1840,HIGHWAY
A,28,1844,AQUEDUCT
M,3,1846,HIGHWAY
A,39,1848,AQUEDUCT
A,29,1851,HIGHWAY
A,39,1853,RR
M,6,1856,HIGHWAY
A,33,1856,HIGHWAY
A,28,1857,RR
A,25,1859,HIGHWAY
M,4,1863,RR
A,28,1864,RR
A,29,1866,HIGHWAY
A,32,1870,HIGHWAY
M,16,1874,RR
M,1,1876,HIGHWAY
A,24,1876,HIGHWAY
O,45,1878,RR
M,10,1882,RR
A,39,1883,RR
M,12,1883,RR
A,31,1884,RR
A,26,1884,HIGHWAY
M,3,1884,HIGHWAY
A,30,1887,HIGHWAY
M,8,1887,RR
O,41,1888,RR
M,19,1889,HIGHWAY
O,45,1890,HIGHWAY
A,27,1890,HIGHWAY
M,17,1891,HIGHWAY
M,18,1891,RR
A,25,1892,HIGHWAY
A,27,1892,AQUEDUCT
M,22,1893,HIGHWAY
M,11,1894,HIGHWAY
M,9,1895,HIGHWAY
O,48,1896,HIGHWAY
M,7,1896,HIGHWAY
A,37,1897,RR
M,14,1897,RR
M,15,1898,RR
A,33,1900,HIGHWAY
A,38,1900,HIGHWAY
M,13,1901,RR
A,34,1902,HIGHWAY
M,16,1903,RR
A,35,1903,RR
M,6,1903,RR
M,21,1903,RR
M,4,1904,RR
A,28,1904,RR
M,2,1904,RR
Y,?,1908,HIGHWAY
M,23,1909,HIGHWAY
A,36,1909,HIGHWAY
O,49,1910,RR
O,43,1911,HIGHWAY
M,10,1914,RR
O,41,1915,RR
A,24,1915,HIGHWAY
A,37,1918,RR
A,31,1920,RR
A,30,1921,WALK
A,29,1923,HIGHWAY
A,32,1924,HIGHWAY
A,27,1926,HIGHWAY
A,26,1926,HIGHWAY
O,46,1927,HIGHWAY
A,38,1927,HIGHWAY
M,5,1927,HIGHWAY
M,1,1927,HIGHWAY
A,30,1928,HIGHWAY
M,20,1928,HIGHWAY
A,25,1928,HIGHWAY
M,17,1928,HIGHWAY
O,40,1931,HIGHWAY
O,42,1931,HIGHWAY
M,6,1931,HIGHWAY
M,11,1937,HIGHWAY
A,34,1939,HIGHWAY
A,39.5,1945,HIGHWAY
A,39.7,1945,RR
A,38.5,1945,HIGHWAY
O,48,1945,HIGHWAY
Y,52,1945,HIGHWAY
Y,51,1945,RR
M,23,1950,HIGHWAY
M,22,1951,HIGHWAY
M,14,1951,HIGHWAY
M,19,1951,HIGHWAY
A,37,1955,HIGHWAY
O,42,1955,HIGHWAY
O,47,1959,HIGHWAY
M,1,1959,HIGHWAY
A,33,1961,HIGHWAY
M,9,1962,HIGHWAY
A,24,1969,HIGHWAY
O,44,1975,HIGHWAY
M,7,1978,HIGHWAY
O,43,1982,HIGHWAY
A,28,1986,HIGHWAY
